"Date","Expanded_RB_HF","Expanded_RB_LF","Expanded_RB_LF_LR","Expanded_LB_HF","Expanded_LB_LF","Expanded_LB_LF_LR","Proportion_of_Fish_in_LF_on_RB","Proportion_of_Fish_in_LF_on_LB","Total_Proportion_of_Fish_in_LF","Total_Expanded_Count_RB","Total_Expanded_Count_LB","Cumulative_RB","Cumulative_LB","Sockeye_Caught","Chinook_Adults_Caught","Chinook_Jacks_Caught","Coho_Caught","Pink_Caught","Chum_Caught","Steelhead_Caught","Total_Caught","Proportion_Sockeye","Proportion_Chinook_Adults","Proportion_Chinook_Jacks","Proportion_Coho","Proportion_Pink","Proportion_Chum","Proportion_Steelhead","Daily_Sockeye","Daily_Chinook_Adults","Daily_Chinook_Jacks","Daily_Coho","Daily_Pink","Daily_Chum","Daily_Steelhead","Cumulative_Sockeye","Cumulative_Chinook_Adults","Cumulative_Chinook_Jacks","Cumulative_Coho","Cumulative_Pink","Cumulative_Chum","Cumulative_Steelhead","Expanded_Daily_Total_RB_LB","Cumulative_Total_RB_LB","NA"
"Date","Expanded RB HF","Expanded RB LF","Expanded RB LF LR","Expanded LB HF","Expanded LB LF","Expanded LB LF LR","Proportion of Fish in LF on RB","Proportion of Fish in LF on LB","Total Proportion of Fish in LF","Total Expanded Count RB","Total Expanded Count LB","Cumulative RB","Cumulative LB","Sockeye Caught","Chinook Adults Caught","Chinook Jacks Caught","Coho Caught","Pink Caught","Chum Caught","Steelhead Caught","Total Caught","Proportion Sockeye","Proportion Chinook Adults","Proportion Chinook Jacks","Proportion Coho","Proportion Pink","Proportion Chum","Proportion Steelhead","Daily Sockeye","Daily Chinook Adults","Daily Chinook Jacks","Daily Coho","Daily Pink","Daily Chum","Daily Steelhead","Cumulative Sockeye","Cumulative Chinook Adults","Cumulative Chinook Jacks","Cumulative Coho","Cumulative Pink","Cumulative Chum","Cumulative Steelhead","Expanded Daily Total RB + LB","Cumulative Total RB + LB",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FN Fisheries"
"45151","10065","1731","102","20046.272727272728","2706","384","0.15405950579929401","0.13355651692148102","0.14051954320055426","11898","23136.272727272728","193530.26282051281","263737.60606060608","20","3","1","0","0","0","0","24","0.83333333333333337","0.125","4.1666666666666664E-2","0","0","0","0","29195.227272727276","4379.284090909091","1459.7613636363635","0","0","0","0","345321.54153368302","103498.56672462959","8447.7606228063123","0","0","0","0","35034.272727272728","457267.86888111889",NA
"45152","13632","993","48","21312","1746","180","7.0946636679615621E-2","8.2881487219209918E-2","7.8262245786183432E-2","14673","23238","208203.26282051281","286975.60606060608","47","9","1","0","0","0","0","57","0.82456140350877194","0.15789473684210525","1.7543859649122806E-2","0","0","0","0","31259.947368421053","5985.9473684210525","665.10526315789468","0","0","0","0","376581.48890210409","109484.51409305065","9112.8658859642073","0","0","0","0","37911","495178.86888111889",NA
"45153","16632","969","42","20133","2106","216","5.7303179731338208E-2","0.10340681362725451","8.3121352685919497E-2","17643","22455","225846.26282051281","309430.60606060608","20","7","0","0","0","0","0","27","0.7407407407407407","0.25925925925925924","0","0","0","0","0","29702.222222222219","10395.777777777777","0","0","0","0","0","406283.71112432634","119880.29187082843","9112.8658859642073","0","0","0","0","40098","535276.86888111895",NA
"45154","10605","1272","-6","18933","2451","390","0.10664644933030074","0.13047671534858088","0.12206865804725814","11871","21774","237717.26282051281","331204.60606060608","43","10","0","0","1","0","0","54","0.79629629629629628","0.18518518518518517","0","0","1.8518518518518517E-2","0","0","26791.388888888887","6230.5555555555557","0","0","623.05555555555554","0","0","433075.10001321521","126110.84742638399","9112.8658859642073","0","623.05555555555554","0","0","33645","568921.86888111895",NA
"45155","9492","1383","150","18483","1764","156","0.13904761904761906","9.4103808263490657E-2","0.10987017945780832","11025","20403","248742.26282051281","351607.60606060608","20","7","1","0","0","0","0","28","0.7142857142857143","0.25","3.5714285714285712E-2","0","0","0","0","22448.571428571428","7857","1122.4285714285713","0","0","0","0","455523.67144178663","133967.84742638399","10235.294457392778","0","623.05555555555554","0","0","31428","600349.86888111895",NA
"45156","13245","1617","222","16656","2136","408","0.12191726332537789","0.13250000000000001","0.12784389219460973","15084","19200","263826.26282051281","370807.60606060608","59","7","1","0","2","0","0","69","0.85507246376811596","0.10144927536231885","1.4492753623188406E-2","0","2.8985507246376812E-2","0","0","29315.304347826088","3478.0869565217395","496.86956521739131","0","993.73913043478262","0","0","484838.97578961274","137445.93438290572","10732.16402261017","0","1616.7946859903382","0","0","34284","634633.86888111895","1"
"45157","15042","5400","552","9396","6516","1128","0.28350957416404687","0.44859154929577466","0.35746963243413787","20994","17040","284820.26282051281","387847.60606060608","30","6","5","0","2","0","0","43","0.69767441860465118","0.13953488372093023","0.11627906976744186","0","4.6511627906976744E-2","0","0","26535.348837209302","5307.0697674418607","4422.5581395348836","0","1769.0232558139535","0","0","511374.32462682202","142753.00415034758","15154.722162145054","0","3385.8179418042919","0","0","38034","672667.86888111895","1"
"45158","23607","2400","234","30705","3765","336","0.10037727220761404","0.11782451301499741","0.1103248316870608","26241","34806","311061.26282051281","422653.60606060608","35","2","0","0","1","0","0","38","0.92105263157894735","5.2631578947368418E-2","0","0","2.6315789473684209E-2","0","0","56227.5","3213","0","0","1606.5","0","0","567601.82462682202","145966.00415034758","15154.722162145054","0","4992.3179418042919","0","0","61047","733714.86888111895",NA
"45159","34974","2136","114","30264","1857","156","6.0444874274661511E-2","6.2366390928524959E-2","6.1337246946087109E-2","37224","32277","348285.26282051281","454930.60606060608","57","3","1","0","0","0","0","61","0.93442622950819676","4.9180327868852458E-2","1.6393442622950821E-2","0","0","0","0","64943.557377049183","3418.0819672131147","1139.360655737705","0","0","0","0","632545.38200387126","149384.08611756068","16294.082817882758","0","4992.3179418042919","0","0","69501","803215.86888111895",NA
"45160","21447","2184","156","34314","3201","660","9.8373060915626184E-2","0.10113948919449901","0.10007746683451148","23787","38175","372072.26282051281","493105.60606060608","42","4","1","0","6","0","0","53","0.79245283018867929","7.5471698113207544E-2","1.8867924528301886E-2","0","0.11320754716981132","0","0","49101.962264150949","4676.3773584905657","1169.0943396226414","0","7014.566037735849","0","0","681647.34426802222","154060.46347605126","17463.177157505401","0","12006.88397954014","0","0","61962","865177.86888111895","1"
