"drift_id","species_id","life_history_type_id","catch_count","retention_type","marked_fish_type_id","created_at"
360,2,1,"2","retained",1,2025-09-09 12:27:46.220009
363,2,1,"2","retained",1,2025-09-09 12:27:46.220009
364,2,1,"1","retained",1,2025-09-09 12:27:46.220009
367,2,1,"3","retained",1,2025-09-09 12:27:46.220009
368,2,1,"4","retained",1,2025-09-09 12:27:46.220009
370,2,1,"4","retained",1,2025-09-09 12:27:46.220009
373,2,1,"3","retained",1,2025-09-09 12:27:46.220009
377,2,1,"2","retained",1,2025-09-09 12:27:46.220009
379,2,1,"1","retained",1,2025-09-09 12:27:46.220009
380,2,1,"5","retained",1,2025-09-09 12:27:46.220009
382,2,1,"1","retained",1,2025-09-09 12:27:46.220009
383,2,1,"1","retained",1,2025-09-09 12:27:46.220009
386,2,1,"6","retained",1,2025-09-09 12:27:46.220009
388,2,1,"1","retained",1,2025-09-09 12:27:46.220009
389,2,1,"1","retained",1,2025-09-09 12:27:46.220009
392,2,1,"3","retained",1,2025-09-09 12:27:46.220009
393,2,1,"1","retained",1,2025-09-09 12:27:46.220009
398,2,1,"5","retained",1,2025-09-09 12:27:46.220009
400,2,1,"2","retained",1,2025-09-09 12:27:46.220009
404,2,1,"4","retained",1,2025-09-09 12:27:46.220009
405,2,1,"1","retained",1,2025-09-09 12:27:46.220009
407,2,1,"5","retained",1,2025-09-09 12:27:46.220009
412,2,1,"2","retained",1,2025-09-09 12:27:46.220009
414,2,1,"3","retained",1,2025-09-09 12:27:46.220009
418,2,1,"3","retained",1,2025-09-09 12:27:46.220009
420,2,1,"1","retained",1,2025-09-09 12:27:46.220009
422,2,1,"1","retained",1,2025-09-09 12:27:46.220009
423,2,1,"1","retained",1,2025-09-09 12:27:46.220009
426,2,1,"1","retained",1,2025-09-09 12:27:46.220009
436,2,1,"2","retained",1,2025-09-09 12:27:46.220009
448,2,1,"1","retained",1,2025-09-09 12:27:46.220009
453,2,1,"1","retained",1,2025-09-09 12:27:46.220009
474,2,1,"1","retained",1,2025-09-09 12:27:46.220009
481,2,1,"1","retained",1,2025-09-09 12:27:46.220009
484,2,1,"2","retained",1,2025-09-09 12:27:46.220009
494,2,1,"1","retained",1,2025-09-09 12:27:46.220009
496,2,1,"1","retained",1,2025-09-09 12:27:46.220009
498,2,1,"1","retained",1,2025-09-09 12:27:46.220009
503,2,1,"2","retained",1,2025-09-09 12:27:46.220009
505,2,1,"1","retained",1,2025-09-09 12:27:46.220009
516,2,1,"1","retained",1,2025-09-09 12:27:46.220009
527,2,1,"1","retained",1,2025-09-09 12:27:46.220009
528,2,1,"2","retained",1,2025-09-09 12:27:46.220009
207,2,NA,"1","retained",1,2025-09-09 12:27:46.220009
264,2,NA,"2","retained",1,2025-09-09 12:27:46.220009
276,2,NA,"1","retained",1,2025-09-09 12:27:46.220009
289,2,NA,"1","retained",1,2025-09-09 12:27:46.220009
295,2,NA,"1","retained",1,2025-09-09 12:27:46.220009
1,15,1,"1","retained",1,2025-09-09 12:27:46.220009
3,15,1,"1","retained",1,2025-09-09 12:27:46.220009
4,15,1,"1","retained",1,2025-09-09 12:27:46.220009
9,15,1,"2","retained",1,2025-09-09 12:27:46.220009
11,15,1,"3","retained",1,2025-09-09 12:27:46.220009
14,15,1,"1","retained",1,2025-09-09 12:27:46.220009
18,15,1,"2","retained",1,2025-09-09 12:27:46.220009
21,15,1,"1","retained",1,2025-09-09 12:27:46.220009
25,15,1,"2","retained",1,2025-09-09 12:27:46.220009
26,15,1,"1","retained",1,2025-09-09 12:27:46.220009
29,15,1,"1","retained",1,2025-09-09 12:27:46.220009
34,15,1,"1","retained",1,2025-09-09 12:27:46.220009
35,15,1,"1","retained",1,2025-09-09 12:27:46.220009
41,15,1,"2","retained",1,2025-09-09 12:27:46.220009
42,15,1,"1","retained",1,2025-09-09 12:27:46.220009
43,15,1,"2","retained",1,2025-09-09 12:27:46.220009
46,15,1,"1","retained",1,2025-09-09 12:27:46.220009
49,15,1,"2","retained",1,2025-09-09 12:27:46.220009
52,15,1,"1","retained",1,2025-09-09 12:27:46.220009
57,15,1,"2","retained",1,2025-09-09 12:27:46.220009
58,15,1,"3","retained",1,2025-09-09 12:27:46.220009
60,15,1,"3","retained",1,2025-09-09 12:27:46.220009
62,15,1,"1","retained",1,2025-09-09 12:27:46.220009
63,15,1,"1","retained",1,2025-09-09 12:27:46.220009
65,15,1,"1","retained",1,2025-09-09 12:27:46.220009
66,15,1,"1","retained",1,2025-09-09 12:27:46.220009
67,15,1,"1","retained",1,2025-09-09 12:27:46.220009
68,15,1,"2","retained",1,2025-09-09 12:27:46.220009
72,15,1,"4","retained",1,2025-09-09 12:27:46.220009
80,15,1,"2","retained",1,2025-09-09 12:27:46.220009
83,15,1,"3","retained",1,2025-09-09 12:27:46.220009
85,15,1,"4","retained",1,2025-09-09 12:27:46.220009
87,15,1,"1","retained",1,2025-09-09 12:27:46.220009
88,15,1,"2","retained",1,2025-09-09 12:27:46.220009
92,15,1,"1","retained",1,2025-09-09 12:27:46.220009
94,15,1,"1","retained",1,2025-09-09 12:27:46.220009
98,15,1,"2","retained",1,2025-09-09 12:27:46.220009
103,15,1,"2","retained",1,2025-09-09 12:27:46.220009
110,15,1,"4","retained",1,2025-09-09 12:27:46.220009
115,15,1,"3","retained",1,2025-09-09 12:27:46.220009
123,15,1,"2","retained",1,2025-09-09 12:27:46.220009
128,15,1,"1","retained",1,2025-09-09 12:27:46.220009
129,15,1,"3","retained",1,2025-09-09 12:27:46.220009
132,15,1,"1","retained",1,2025-09-09 12:27:46.220009
137,15,1,"1","retained",1,2025-09-09 12:27:46.220009
140,15,1,"1","retained",1,2025-09-09 12:27:46.220009
141,15,1,"2","retained",1,2025-09-09 12:27:46.220009
144,15,1,"1","retained",1,2025-09-09 12:27:46.220009
145,15,1,"1","retained",1,2025-09-09 12:27:46.220009
152,15,1,"2","retained",1,2025-09-09 12:27:46.220009
159,15,1,"1","retained",1,2025-09-09 12:27:46.220009
160,15,1,"1","retained",1,2025-09-09 12:27:46.220009
161,15,1,"1","retained",1,2025-09-09 12:27:46.220009
165,15,1,"3","retained",1,2025-09-09 12:27:46.220009
170,15,1,"2","retained",1,2025-09-09 12:27:46.220009
172,15,1,"2","retained",1,2025-09-09 12:27:46.220009
173,15,1,"1","retained",1,2025-09-09 12:27:46.220009
177,15,1,"1","retained",1,2025-09-09 12:27:46.220009
180,15,1,"1","retained",1,2025-09-09 12:27:46.220009
186,15,1,"1","retained",1,2025-09-09 12:27:46.220009
189,15,1,"1","retained",1,2025-09-09 12:27:46.220009
191,15,1,"1","retained",1,2025-09-09 12:27:46.220009
193,15,1,"1","retained",1,2025-09-09 12:27:46.220009
198,15,1,"1","retained",1,2025-09-09 12:27:46.220009
201,15,1,"1","retained",1,2025-09-09 12:27:46.220009
203,15,1,"4","retained",1,2025-09-09 12:27:46.220009
204,15,1,"1","retained",1,2025-09-09 12:27:46.220009
205,15,1,"1","retained",1,2025-09-09 12:27:46.220009
207,15,1,"2","retained",1,2025-09-09 12:27:46.220009
209,15,1,"1","retained",1,2025-09-09 12:27:46.220009
211,15,1,"3","retained",1,2025-09-09 12:27:46.220009
214,15,1,"4","retained",1,2025-09-09 12:27:46.220009
215,15,1,"2","retained",1,2025-09-09 12:27:46.220009
217,15,1,"1","retained",1,2025-09-09 12:27:46.220009
219,15,1,"4","retained",1,2025-09-09 12:27:46.220009
224,15,1,"2","retained",1,2025-09-09 12:27:46.220009
226,15,1,"1","retained",1,2025-09-09 12:27:46.220009
228,15,1,"2","retained",1,2025-09-09 12:27:46.220009
232,15,1,"2","retained",1,2025-09-09 12:27:46.220009
234,15,1,"2","retained",1,2025-09-09 12:27:46.220009
236,15,1,"5","retained",1,2025-09-09 12:27:46.220009
240,15,1,"3","retained",1,2025-09-09 12:27:46.220009
241,15,1,"1","retained",1,2025-09-09 12:27:46.220009
243,15,1,"2","retained",1,2025-09-09 12:27:46.220009
244,15,1,"1","retained",1,2025-09-09 12:27:46.220009
245,15,1,"3","retained",1,2025-09-09 12:27:46.220009
246,15,1,"3","retained",1,2025-09-09 12:27:46.220009
249,15,1,"1","retained",1,2025-09-09 12:27:46.220009
250,15,1,"3","retained",1,2025-09-09 12:27:46.220009
251,15,1,"3","retained",1,2025-09-09 12:27:46.220009
253,15,1,"2","retained",1,2025-09-09 12:27:46.220009
256,15,1,"2","retained",1,2025-09-09 12:27:46.220009
258,15,1,"2","retained",1,2025-09-09 12:27:46.220009
260,15,1,"2","retained",1,2025-09-09 12:27:46.220009
261,15,1,"1","retained",1,2025-09-09 12:27:46.220009
262,15,1,"1","retained",1,2025-09-09 12:27:46.220009
263,15,1,"1","retained",1,2025-09-09 12:27:46.220009
266,15,1,"5","retained",1,2025-09-09 12:27:46.220009
268,15,1,"1","retained",1,2025-09-09 12:27:46.220009
275,15,1,"2","retained",1,2025-09-09 12:27:46.220009
276,15,1,"1","retained",1,2025-09-09 12:27:46.220009
277,15,1,"1","retained",1,2025-09-09 12:27:46.220009
279,15,1,"1","retained",1,2025-09-09 12:27:46.220009
283,15,1,"1","retained",1,2025-09-09 12:27:46.220009
285,15,1,"1","retained",1,2025-09-09 12:27:46.220009
287,15,1,"2","retained",1,2025-09-09 12:27:46.220009
289,15,1,"5","retained",1,2025-09-09 12:27:46.220009
290,15,1,"2","retained",1,2025-09-09 12:27:46.220009
292,15,1,"5","retained",1,2025-09-09 12:27:46.220009
294,15,1,"1","retained",1,2025-09-09 12:27:46.220009
296,15,1,"1","retained",1,2025-09-09 12:27:46.220009
297,15,1,"2","retained",1,2025-09-09 12:27:46.220009
298,15,1,"2","retained",1,2025-09-09 12:27:46.220009
299,15,1,"3","retained",1,2025-09-09 12:27:46.220009
300,15,1,"1","retained",1,2025-09-09 12:27:46.220009
301,15,1,"1","retained",1,2025-09-09 12:27:46.220009
302,15,1,"14","retained",1,2025-09-09 12:27:46.220009
303,15,1,"3","retained",1,2025-09-09 12:27:46.220009
304,15,1,"4","retained",1,2025-09-09 12:27:46.220009
305,15,1,"8","retained",1,2025-09-09 12:27:46.220009
307,15,1,"3","retained",1,2025-09-09 12:27:46.220009
308,15,1,"3","retained",1,2025-09-09 12:27:46.220009
309,15,1,"4","retained",1,2025-09-09 12:27:46.220009
310,15,1,"4","retained",1,2025-09-09 12:27:46.220009
